vocab_size,top_k,test_acc,test_auroc,cosine_sim
10,10,0.6666666666666666,0.5452446906740536,0.04472600961971218
20,20,0.6666666666666666,0.5335103108648815,0.03593138114103056
30,30,0.6666666666666666,0.5306248076331179,0.03856597480151436
40,40,0.6666666666666666,0.5267005232379193,0.036878594847440715
50,50,0.6666666666666666,0.5252000615574022,0.033050650027345085
60,60,0.6666666666666666,0.5245844875346259,0.03179196819990793
70,70,0.6666666666666666,0.5242767005232379,0.03031915572225863
80,80,0.6666666666666666,0.5250846414281317,0.02776541280733924
90,90,0.6666666666666666,0.525777162203755,0.0282158975189849
100,100,0.6666666666666666,0.5271622037550016,0.029175049835291844
110,110,0.6666666666666666,0.527200677131425,0.029512290368305938
120,120,0.6666666666666666,0.5258925823330256,0.02913396773389365
130,130,0.6666666666666666,0.5272776238842721,0.028884712471289875
140,140,0.6666666666666666,0.5275469375192366,0.027555078532623734
150,150,0.6666666666666666,0.5279316712834718,0.028071768630079208
160,160,0.6666666666666666,0.5266620498614958,0.027840006900117897
170,170,0.6666666666666666,0.5257771622037549,0.028321452093389987
180,180,0.6666666666666666,0.5260849492151431,0.02880266103766982
190,190,0.6666666666666666,0.5252770083102493,0.028805634513515033
200,200,0.6666666666666666,0.5263157894736842,0.028532323341692756
210,210,0.6666666666666666,0.5267774699907664,0.02793584548985828
220,220,0.6666666666666666,0.527046783625731,0.028288609799719366
230,230,0.6666666666666666,0.527046783625731,0.02860253316251149
240,240,0.6666666666666666,0.5277777777777778,0.028779973108100876
250,250,0.6666666666666666,0.5280470914127424,0.028171941965605574
260,260,0.6666666666666666,0.527277623884272,0.027948373218446454
270,270,0.6666666666666666,0.5275469375192366,0.027770734201154834
280,280,0.6666666666666666,0.5274699907663897,0.028032230866876118
290,290,0.6666666666666666,0.5274699907663897,0.028337022776637633
300,300,0.6666666666666666,0.5282009849184364,0.028258083479905993
310,310,0.6666666666666666,0.5281240381655894,0.028180802822735163
320,320,0.6666666666666666,0.5285087719298246,0.028422112251432763
330,330,0.6666666666666666,0.52823945829486,0.028228583334189095
340,340,0.6666666666666666,0.528624192059095,0.02840713505850878
350,350,0.6666666666666666,0.5288165589412127,0.028881100355225953
360,360,0.6666666666666666,0.5290858725761773,0.029134557121183624
370,370,0.6666666666666666,0.5290089258233303,0.028863539209658118
380,380,0.6666666666666666,0.5284702985534011,0.02837248801324821
390,390,0.6666666666666666,0.5284318251769775,0.028456457634415955
400,400,0.6666666666666666,0.528393351800554,0.02881217975065198
410,410,0.6666666666666666,0.5287396121883656,0.028883380996562624
420,420,0.6666666666666666,0.5283933518005539,0.02889048115034487
430,430,0.6666666666666666,0.52823945829486,0.028809740757225977
440,440,0.6666666666666666,0.5280470914127423,0.028892154010394466
450,450,0.6666666666666666,0.5273545706371191,0.028469058992269147
460,460,0.6666666666666666,0.5270852570021545,0.028355425383769006
470,470,0.6666666666666666,0.527123730378578,0.028502248897459004
480,480,0.6666666666666666,0.5264696829793782,0.028193784761145313
490,490,0.6666666666666666,0.5264696829793782,0.02817609226312301
500,500,0.6666666666666666,0.5266235764850723,0.02812134728452631
510,510,0.6666666666666666,0.5263542628501077,0.028350071660557363
520,520,0.6666666666666666,0.5262003693444137,0.02829063185809133
530,530,0.6666666666666666,0.5263542628501077,0.028255261311311952
540,540,0.6666666666666666,0.5267774699907664,0.02837288302316776
550,550,0.6666666666666666,0.5265851031086488,0.028405927724197366
560,560,0.6666666666666666,0.5267389966143429,0.028469685875950557
570,570,0.6666666666666666,0.5264312096029548,0.028220675982729704
580,580,0.6666666666666666,0.5262388427208372,0.028027215064501676
590,590,0.6666666666666666,0.5261618959679901,0.028086356003790836
600,600,0.6666666666666666,0.5266235764850723,0.02812423094065486
610,610,0.6666666666666666,0.5270852570021545,0.02838318309512433
620,620,0.6666666666666666,0.5273160972606956,0.028463560664645504
630,630,0.6666666666666666,0.527277623884272,0.028630840873608454
640,640,0.6666666666666666,0.5273160972606956,0.028559425090717516
650,650,0.6666666666666666,0.5270852570021545,0.028609356226827032
660,660,0.6666666666666666,0.5272391505078486,0.028710501475381567
670,670,0.6666666666666666,0.5273160972606956,0.028482302972299922
680,680,0.6666666666666666,0.527277623884272,0.028631551325436155
690,690,0.6666666666666666,0.5273545706371191,0.02857124104062725
700,700,0.6666666666666666,0.5275084641428132,0.028504337922109935
710,710,0.6666666666666666,0.5274699907663898,0.028709314077068893
720,720,0.6666666666666666,0.5274315173899662,0.028669495953637658
730,730,0.6666666666666666,0.5270852570021545,0.028655003453505357
740,740,0.6666666666666666,0.5274315173899662,0.028706585824128883
750,750,0.6666666666666666,0.5274699907663896,0.028662640342871915
760,760,0.6666666666666666,0.5277008310249307,0.02871725102068845
770,770,0.6666666666666666,0.5276238842720837,0.028688453438078798
780,780,0.6666666666666666,0.5273545706371191,0.028670923638700385
790,790,0.6666666666666666,0.5270852570021546,0.028670689206158118
800,800,0.6666666666666666,0.5272391505078486,0.028754856107657045
810,810,0.6666666666666666,0.5269698368728839,0.028753780297949283
820,820,0.6666666666666666,0.5275469375192366,0.028467917322078096
830,830,0.6666666666666666,0.5276238842720837,0.02874662466657707
840,840,0.6666666666666666,0.5273160972606956,0.028644523379718567
850,850,0.6666666666666666,0.5276238842720836,0.028682474585772888
860,860,0.6666666666666666,0.5273545706371191,0.028764677194204613
870,870,0.6666666666666666,0.5275469375192366,0.028923060447418658
880,880,0.6666666666666666,0.5275084641428132,0.029048510554139595
890,890,0.6666666666666666,0.5276623576485072,0.02899868604280864
900,900,0.6666666666666666,0.5276238842720837,0.028957779668037475
910,910,0.6666666666666666,0.5273160972606956,0.028901175156445413
920,920,0.6666666666666666,0.527354570637119,0.028925948045704142
930,930,0.6666666666666666,0.5271622037550014,0.028890145341276763
940,940,0.6666666666666666,0.527277623884272,0.02890295664844611
950,950,0.6666666666666666,0.5272776238842721,0.028797824360699997
960,960,0.6666666666666666,0.5273545706371191,0.028845232825502443
970,970,0.6666666666666666,0.5272391505078485,0.02874137299661894
980,980,0.6666666666666666,0.5269313634964604,0.028682729635829296
990,990,0.6666666666666666,0.5274699907663897,0.02890510837022575
1000,1000,0.6666666666666666,0.5272776238842721,0.029005120445781407
1010,1010,0.6666666666666666,0.5273160972606956,0.029005820243253932
1020,1020,0.6666666666666666,0.5272391505078486,0.029087269077255895
1030,1030,0.7397660818713451,0.8250615574022777,0.9999999844115751
1040,1040,0.7397660818713451,0.8251000307787012,1.0
1050,1050,0.7397660818713451,0.8250615574022777,0.9999999728392757
1060,1060,0.7397660818713451,0.8250615574022777,0.9999999790349747
1070,1070,0.7397660818713451,0.8250615574022777,1.0
1080,1080,0.7397660818713451,0.8250615574022777,0.9999999775556068
1090,1090,0.7397660818713451,0.8250615574022777,1.0
1100,1100,0.7397660818713451,0.8250615574022777,0.9999999699943506
1100,1100,0.7397660818713451,0.8250615574022777,0.9999999699943506
